pricePerSquareFoot,city,yearBuilt,livingAreaValue,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,homeType,county
125.0,Calhoun,2021,0.041620752984389345,3.0,3.0,1813.0,1,2.0,1,Two,0,0,1,SINGLE_FAMILY,Gordon County
114.0,Calhoun,2019,2364.0,3.0,5.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Gordon County
125.0,Calhoun,2021,0.041620752984389345,3.0,3.0,1813.0,1,2.0,1,Two,0,0,1,SINGLE_FAMILY,Gordon County
125.0,Calhoun,2021,0.041620752984389345,3.0,3.0,1813.0,1,2.0,1,Two,0,0,1,SINGLE_FAMILY,Gordon County
124.0,Calhoun,1970,1449.0,2.0,3.0,1449.0,1,0.0,0,Split Level,0,0,0,SINGLE_FAMILY,Gordon County
121.0,Calhoun,2006,0.05369605142332415,3.0,3.0,2339.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Gordon County
140.0,Calhoun,2020,0.0326216712580349,2.0,3.0,1421.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Gordon County
124.0,Calhoun,1970,1449.0,2.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Gordon County
122.0,Calhoun,2007,0.018480257116620755,1.0,1.0,805.0,0,0.0,0,One,1,0,0,SINGLE_FAMILY,Gordon County
125.0,Calhoun,2021,0.041620752984389345,3.0,3.0,1813.0,1,2.0,1,Two,0,0,1,SINGLE_FAMILY,Gordon County
118.0,Calhoun,2019,2364.0,3.0,5.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Gordon County
125.0,Calhoun,2021,0.041620752984389345,3.0,3.0,1813.0,1,2.0,1,Two,0,0,1,SINGLE_FAMILY,Gordon County
125.0,Calhoun,2021,0.041620752984389345,3.0,3.0,1813.0,1,2.0,1,Two,0,0,1,SINGLE_FAMILY,Gordon County
122.0,Calhoun,2006,0.05369605142332415,3.0,3.0,2339.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Gordon County
112.0,Calhoun,1983,6354.0,6.0,5.0,6354.0,1,2.0,1,Two,1,0,0,SINGLE_FAMILY,Gordon County
140.0,Calhoun,1900,1146.0,1.0,2.0,1146.0,1,0.0,0,One,0,0,0,SINGLE_FAMILY,Gordon County
134.0,Calhoun,1950,1268.0,1.0,4.0,1268.0,1,0.0,0,One,0,0,0,SINGLE_FAMILY,Gordon County
125.0,Canon,2015,1440.0,1.0,1.0,1440.0,1,0.0,1,One,0,0,0,SINGLE_FAMILY,Hart County
105.0,Canon,2010,3348.0,3.0,4.0,3348.0,1,2.0,1,Two,0,1,0,SINGLE_FAMILY,Hart County
268.0,Canon,1990,1344.0,2.0,3.0,0.0,1,1.0,1,One,0,0,0,SINGLE_FAMILY,Franklin County
125.0,Canon,1994,3990.0,3.0,3.0,3990.0,1,0.0,1,Two,1,0,0,SINGLE_FAMILY,Hart County
144.0,Canton,2006,0.07196969696969698,4.0,4.0,3135.0,1,2.0,1,Two,0,1,0,SINGLE_FAMILY,Cherokee County
156.0,Canton,2018,0.06813590449954086,4.0,4.0,2968.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
155.0,Canton,2016,2996.0,4.0,5.0,2996.0,1,2.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Cherokee County
152.0,Canton,2010,0.08723599632690542,3.0,3.0,3800.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Cherokee County
189.0,Canton,2007,0.03663911845730027,3.0,3.0,1596.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
159.0,Canton,1997,2320.0,3.0,3.0,2320.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
187.0,Canton,2004,0.04288337924701561,3.0,3.0,1868.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
