price,pricePerSquareFoot,city,yearBuilt,livingAreaValue,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,homeType,county
634500.0,285.0,Alpharetta,2021,0.051147842056932964,4.0,4.0,2228.0,1,2.0,1,Three Or More,0,0,1,TOWNHOUSE,Fulton County
747650.0,297.0,Alpharetta,2021,0.057736455463728194,4.0,4.0,2515.0,1,2.0,1,Three Or More,0,0,1,TOWNHOUSE,Fulton County
719360.0,286.0,Alpharetta,2021,0.057736455463728194,4.0,4.0,2515.0,1,2.0,1,Three Or More,0,0,1,TOWNHOUSE,Fulton County
475000.0,223.0,Alpharetta,2018,0.048943985307621674,4.0,4.0,2132.0,1,2.0,1,Three Or More,0,0,0,TOWNHOUSE,Fulton County
550000.0,169.0,Alpharetta,2007,0.07488521579430671,5.0,5.0,3262.0,1,2.0,1,Three Or More,1,0,0,TOWNHOUSE,Fulton County
279000.0,187.0,Alpharetta,1988,0.03427456382001837,3.0,2.0,1493.0,1,0.0,0,Two,0,0,0,TOWNHOUSE,Fulton County
550000.0,268.0,Alpharetta,2014,0.047061524334251606,3.0,3.0,2050.0,1,0.0,1,Two,0,0,0,TOWNHOUSE,Fulton County
699500.0,206.0,Alpharetta,2019,0.0780532598714417,4.0,4.0,3400.0,1,0.0,1,Three Or More,0,0,0,TOWNHOUSE,Fulton County
549990.0,303.0,Alpharetta,1993,1816.0,3.0,3.0,1816.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Fulton County
550000.0,174.0,Alpharetta,1995,3152.0,5.0,5.0,3152.0,1,2.0,1,Two,0,1,0,SINGLE_FAMILY,Fulton County
464900.0,312.0,Alpharetta,2021,0.03420569329660239,2.0,2.0,1490.0,1,1.0,1,Three Or More,1,0,1,CONDO,Fulton County
665885.0,299.0,Alpharetta,2021,0.051147842056932964,3.0,3.0,2228.0,1,2.0,1,Three Or More,1,0,1,SINGLE_FAMILY,Fulton County
469900.0,211.0,Alpharetta,2021,0.051101928374655645,4.0,3.0,0.0,1,0.0,0,0,0,0,1,TOWNHOUSE,Fulton County
229900.0,188.0,Alpharetta,1987,0.02805325987144169,2.0,2.0,1222.0,1,0.0,0,One,1,0,0,CONDO,Fulton County
510900.0,188.0,Alpharetta,1994,2716.0,3.0,4.0,0.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Forsyth County
